num,year,sikibetu1,sikibetu2,
176,1953,176se,176ne,
177,1953,177nw,177se,
179,1953,179s,179n,
187,1953,187n,187s,
224,1953,224s,224s,
285,1953,285s,285n,
302,1953,302s,302n,
364,1953,364s,364n,
411,1953,411s,411n,
460,1953,460w,460e,
533,1953,533s,533n,
547,1953,547e,547w,
729,1953,729s,729sw,
826,1953,826s,826n,
11,1954,11n,11s,
32,1954,32w,32e,
34,1954,34se,34ne,
91,1954,91se,91ne,
133,1954,133ne,133sw,
135,1954,135nw,135se,
144,1954,144se,144nw,
176,1954,176se,176ne,
177,1954,177nw,177se,
179,1954,179s,179n,
187,1954,187n,187s,
224,1954,224s,224s,
285,1954,285s,285n,
302,1954,302s,302n,
364,1954,364s,364n,
411,1954,411s,411n,
460,1954,460w,460e,
533,1954,533s,533n,
547,1954,547e,547w,
699,1954,699se,699nw,
729,1954,729s,729sw,
826,1954,826s,826n,
11,1955,11n,11s,
32,1955,32w,32e,
34,1955,34se,34ne,
91,1955,91se,91ne,
133,1955,133ne,133sw,
135,1955,135nw,135se,
144,1955,144se,144nw,
176,1955,176se,176ne,
177,1955,177nw,177se,
179,1955,179s,179n,
187,1955,187n,187s,
224,1955,224s,224s,
285,1955,285s,285n,
302,1955,302s,302n,
364,1955,364s,364n,
411,1955,411s,411n,
460,1955,460w,460e,
533,1955,533s,533n,
547,1955,547e,547w,
699,1955,699se,699nw,
729,1955,729s,729sw,
826,1955,826s,826n,
11,1956,11n,11s,
32,1956,32w,32e,
34,1956,34se,34ne,
91,1956,91se,91ne,
133,1956,133ne,133sw,
135,1956,135nw,135se,
144,1956,144se,144nw,
176,1956,176se,176ne,
177,1956,177nw,177se,
178,1956,178s,178n,
179,1956,179s,179n,
187,1956,187n,187s,
224,1956,224s,224s,
237,1956,237s,237n,
245,1956,245s,245n,
285,1956,285s,285n,
302,1956,302s,302n,
364,1956,364s,364n,
411,1956,411s,411n,
460,1956,460w,460e,
533,1956,533s,533n,
547,1956,547e,547w,
699,1956,699se,699nw,
729,1956,729s,729sw,
826,1956,826s,826n,
11,1957,11n,11s,
32,1957,32w,32e,
34,1957,34se,34ne,
91,1957,91se,91ne,
133,1957,133ne,133sw,
135,1957,135nw,135se,
144,1957,144se,144nw,
176,1957,176se,176ne,
177,1957,177nw,177se,
178,1957,178s,178n,
179,1957,179s,179n,
187,1957,187n,187s,
224,1957,224s,224s,
237,1957,237s,237n,
245,1957,245s,245n,
265,1957,265s,265n,
285,1957,285s,285n,
302,1957,302s,302n,
364,1957,364s,364n,
411,1957,411s,411n,
460,1957,460w,460e,
533,1957,533s,533n,
547,1957,547e,547w,
699,1957,699se,699nw,
729,1957,729s,729sw,
826,1957,826s,826n,
11,1958,11n,11s,
32,1958,32w,32e,
34,1958,34se,34ne,
91,1958,91se,91ne,
133,1958,133ne,133sw,
135,1958,135nw,135se,
144,1958,144se,144nw,
176,1958,176se,176ne,
177,1958,177nw,177se,
178,1958,178s,178n,
179,1958,179s,179n,
187,1958,187n,187s,
223,1958,223sw,223ne,
224,1958,224s,224s,
237,1958,237s,237n,
245,1958,245s,245n,
265,1958,265s,265n,
285,1958,285s,285n,
302,1958,302s,302n,
364,1958,364s,364n,
411,1958,411s,411n,
460,1958,460w,460e,
533,1958,533s,533n,
547,1958,547e,547w,
699,1958,699se,699nw,
729,1958,729s,729sw,
826,1958,826s,826n,
11,1959,11n,11s,
32,1959,32w,32e,
34,1959,34se,34ne,
91,1959,91se,91ne,
133,1959,133ne,133sw,
135,1959,135nw,135se,
144,1959,144se,144nw,
176,1959,176se,176ne,
177,1959,177nw,177se,
178,1959,178s,178n,
179,1959,179s,179n,
187,1959,187n,187s,
223,1959,223sw,223ne,
224,1959,224s,224s,
237,1959,237s,237n,
245,1959,245s,245n,
265,1959,265s,265n,
285,1959,285s,285n,
302,1959,302s,302n,
364,1959,364s,364n,
411,1959,411s,411n,
460,1959,460w,460e,
505,1959,505s,505n,
533,1959,533s,533n,
547,1959,547e,547w,
699,1959,699se,699nw,
729,1959,729s,729sw,
826,1959,826s,826n,
11,1960,11n,11s,
32,1960,32w,32e,
34,1960,34se,34ne,
91,1960,91se,91ne,
133,1960,133ne,133sw,
135,1960,135nw,135se,
144,1960,144se,144nw,
176,1960,176se,176ne,
177,1960,177nw,177se,
178,1960,178s,178n,
179,1960,179s,179n,
187,1960,187n,187s,
223,1960,223sw,223ne,
224,1960,224s,224s,
237,1960,237s,237n,
245,1960,245s,245n,
265,1960,265s,265n,
285,1960,285s,285n,
302,1960,302s,302n,
364,1960,364s,364n,
411,1960,411s,411n,
460,1960,460w,460e,
505,1960,505s,505n,
533,1960,533s,533n,
547,1960,547e,547w,
699,1960,699se,699nw,
729,1960,729s,729sw,
826,1960,826s,826n,
9,1961,9s,9n,
11,1961,11n,11s,
32,1961,32w,32e,
34,1961,34se,34ne,
91,1961,91se,91ne,
117,1961,117sw,117,28.4
133,1961,133ne,133sw,
135,1961,135nw,135se,
144,1961,144se,144nw,
176,1961,176se,176ne,
177,1961,177nw,177se,
178,1961,178s,178n,
179,1961,179s,179n,
187,1961,187n,187s,
193,1961,193s,193n,
223,1961,223sw,223ne,
224,1961,224s,224s,
237,1961,237s,237n,
245,1961,245s,245n,
264,1961,264s,264n,
265,1961,265s,265n,
285,1961,285s,285n,
302,1961,302s,302n,
364,1961,364s,364n,
411,1961,411s,411n,
460,1961,460w,460e,
505,1961,505s,505n,
514,1961,514s,514n,
533,1961,533s,533n,
547,1961,547e,547w,
699,1961,699se,699nw,
729,1961,729s,729sw,
826,1961,826s,826n,
9,1962,9s,9n,
11,1962,11n,11s,
32,1962,32w,32e,
34,1962,34se,34ne,
91,1962,91se,91ne,
117,1962,117sw,117,23.42
133,1962,133ne,133sw,
135,1962,135nw,135se,
144,1962,144se,144nw,
176,1962,176se,176ne,
177,1962,177nw,177se,
178,1962,178s,178n,
179,1962,179s,179n,
